date,county,state,pop,cases,deaths,casesPerCapita,deathsPerCapita,scores,anomaly
43890,King County,Washington,28669.0,4,1,0.000139524,3.4899999999999995e-05,-0.09108154744998398,-1
43891,King County,Washington,28669.0,11,3,0.00038369,0.000104643,-0.10954625829766607,-1
43892,King County,Washington,28669.0,15,6,0.000523213,0.000209285,-0.13730696853697977,-1
43893,King County,Washington,28669.0,22,10,0.0007673789999999999,0.000348809,-0.14657558847694696,-1
43894,King County,Washington,28669.0,33,11,0.001151069,0.00038369,-0.02616530026687547,-1
43895,King County,Washington,28669.0,52,11,0.001813806,0.00038369,-0.03470594651361181,-1
43896,King County,Washington,28669.0,59,12,0.002057972,0.00041857099999999996,-0.0551789292706647,-1
43897,King County,Washington,28669.0,72,16,0.002511423,0.000558094,-0.07692622519203862,-1
43898,King County,Washington,28669.0,91,18,0.00317416,0.000627856,-0.07268372378020238,-1
43898,Santa Rosa County,Florida,6131.0,1,1,0.000163106,0.000163106,-0.007961587129167613,-1
43899,King County,Washington,28669.0,117,21,0.004081063,0.000732499,-0.1442704743575678,-1
43900,King County,Washington,28669.0,191,23,0.006662248000000001,0.00080226,-0.14612738668903014,-1
43901,King County,Washington,28669.0,235,27,0.008197007,0.000941784,-0.14649925528571384,-1
43902,King County,Washington,28669.0,271,28,0.009452719,0.000976665,-0.17505942979750355,-1
43902,Wyandotte County,Kansas,7208.0,1,1,0.000138735,0.000138735,-0.036490038821106685,-1
43903,King County,Washington,28669.0,329,33,0.01147581,0.001151069,-0.12888917269590816,-1
43903,Santa Rosa County,Florida,6131.0,1,1,0.000163106,0.000163106,-0.014076956758980463,-1
43903,Santa Clara County,California,6131.0,79,2,0.012885337,0.00032621099999999997,-0.07241476933119295,-1
43903,Wyandotte County,Kansas,7208.0,1,1,0.000138735,0.000138735,-0.0018421779029644814,-1
43904,King County,Washington,28669.0,389,36,0.013568663,0.001255712,-0.1737662832704041,-1
43904,Santa Rosa County,Florida,6131.0,1,1,0.000163106,0.000163106,-0.05855875820932632,-1
43904,Santa Clara County,California,6131.0,91,2,0.014842603000000001,0.00032621099999999997,-0.11451359684337026,-1
43904,Wyandotte County,Kansas,7208.0,1,1,0.000138735,0.000138735,-0.038269060750558026,-1
43905,King County,Washington,28669.0,421,38,0.014684851,0.0013254739999999999,-0.13866363713772656,-1
43905,Santa Rosa County,Florida,6131.0,1,1,0.000163106,0.000163106,-0.04244893543004091,-1
43905,Santa Clara County,California,6131.0,114,2,0.01859403,0.00032621099999999997,-0.08834021619993726,-1
43905,Orleans County,Louisiana,14899.0,75,2,0.005033895,0.000134237,-0.008454492856233675,-1
43905,Wyandotte County,Kansas,7208.0,1,1,0.000138735,0.000138735,-0.011629989599395096,-1
43906,Suffolk County,New York,1490.0,63,2,0.042281879,0.0013422820000000002,-0.14882709698503493,-1
43906,King County,Washington,28669.0,489,44,0.017056751000000002,0.001534759,-0.16032052713436373,-1
43906,Santa Rosa County,Florida,6131.0,1,1,0.000163106,0.000163106,-0.020807567752222478,-1
43906,Santa Clara County,California,6131.0,138,4,0.022508563,0.0006524219999999999,-0.11118162835197465,-1
43906,Orleans County,Louisiana,14899.0,95,3,0.006376267,0.00020135599999999997,-0.042194101127023265,-1
43907,Suffolk County,New York,1490.0,84,3,0.056375839000000004,0.002013423,-0.15230391922449527,-1
43907,King County,Washington,28669.0,518,47,0.018068297,0.001639401,-0.14625272884570828,-1
43907,Santa Rosa County,Florida,6131.0,1,1,0.000163106,0.000163106,-0.007545627013692102,-1
43907,Santa Clara County,California,6131.0,155,5,0.025281357,0.000815528,-0.10905740547819398,-1
43907,Riverside County,California,17457.0,16,3,0.000916538,0.000171851,-0.014708675603624322,-1
43907,Orleans County,Louisiana,14899.0,136,5,0.009128129,0.000335593,-0.06734510817344874,-1
43908,Bergen County,New Jersey,17634.0,133,4,0.0075422480000000005,0.000226835,-0.007982688395075543,-1
43908,Suffolk County,New York,1490.0,116,3,0.077852349,0.002013423,-0.1315909608100616,-1
43908,King County,Washington,28669.0,563,57,0.019637936,0.00198821,-0.1315909608100616,-1
43908,Clay County,Florida,3183.0,4,1,0.001256676,0.000314169,-0.03556098121022444,-1
43908,Santa Clara County,California,6131.0,175,6,0.028543468,0.000978633,-0.09836078040990204,-1
43908,Prince George's County,Maryland,4470.0,20,1,0.004474273,0.00022371400000000002,-0.006421042986679115,-1
