date,county,state,pop,cases,deaths,casesPerCapita,deathsPerCapita,scores,anomaly
43855,Snohomish County,Washington,209714.0,1,0,4.77e-06,0.0,-0.0035191936044266514,-1
43856,Snohomish County,Washington,209714.0,1,0,4.77e-06,0.0,-0.005257503781996742,-1
43857,Snohomish County,Washington,209714.0,1,0,4.77e-06,0.0,-0.004393886931044477,-1
43858,Snohomish County,Washington,209714.0,1,0,4.77e-06,0.0,-0.00408942172816229,-1
43859,Snohomish County,Washington,209714.0,1,0,4.77e-06,0.0,-0.004739323733153555,-1
43860,Cook County,Illinois,17212.0,2,0,0.00011619799999999999,0.0,-0.0026264351704160527,-1
43861,Santa Clara County,California,6131.0,1,0,0.000163106,0.0,-0.0026418670404732003,-1
43862,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.013511213987472348,-1
43863,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.011597729074010465,-1
43864,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.013370176254775323,-1
43865,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.012482442673526939,-1
43866,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.013470785438646549,-1
43867,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.014264531762015364,-1
43868,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.013296106886282466,-1
43869,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.012722483407434315,-1
43870,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.013675563619714004,-1
43871,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.015260879700349395,-1
43872,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.014570269760734278,-1
43873,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.015292041087638819,-1
43874,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.017706659282733517,-1
43875,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.017889252203853068,-1
43876,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.016454194777143716,-1
43877,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.01431480761070636,-1
43878,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.01875208887110069,-1
43879,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.015023392650392653,-1
43880,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.017206673001191164,-1
43881,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.018221244080103283,-1
43882,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.020075195606819363,-1
43883,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.018071453974962237,-1
43884,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.021149936118809887,-1
43885,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.0181122489603891,-1
43886,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.019358595665672995,-1
43887,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.024904224115635865,-1
43888,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.02509343235774708,-1
43889,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.014538964857895409,-1
43890,Suffolk County,Massachusetts,1490.0,1,0,0.0006711410000000001,0.0,-0.0005844661531705375,-1
43891,Santa Clara County,California,6131.0,7,0,0.001141739,0.0,-0.03567241745704042,-1
43892,Santa Clara County,California,6131.0,9,0,0.00146795,0.0,-0.05152644238456028,-1
43893,Santa Clara County,California,6131.0,11,0,0.001794161,0.0,-0.05567636946338561,-1
43894,Santa Clara County,California,6131.0,14,0,0.002283477,0.0,-0.0570089131084941,-1
43895,Santa Clara County,California,6131.0,20,0,0.003262111,0.0,-0.0627247867242886,-1
43896,Santa Clara County,California,6131.0,24,0,0.0039145329999999996,0.0,-0.01626569033870262,-1
43897,Westchester County,New York,9154.0,69,0,0.007537688000000001,0.0,-0.05309378067268833,-1
43898,Westchester County,New York,9154.0,81,0,0.008848591,0.0,-0.0635664227372642,-1
43898,King County,Washington,28669.0,91,18,0.00317416,0.000627856,-0.005007185266577396,-1
43899,Westchester County,New York,9154.0,97,0,0.010596461000000001,0.0,-0.08960477975263959,-1
43899,King County,Washington,28669.0,117,21,0.004081063,0.000732499,-0.003768050314806648,-1
43900,Westchester County,New York,9154.0,107,0,0.011688879,0.0,-0.02296333251685101,-1
43900,Suffolk County,Massachusetts,1490.0,20,0,0.013422818999999999,0.0,-0.04745206265688007,-1
43901,Westchester County,New York,9154.0,120,0,0.013109023000000001,0.0,-0.030618260078517756,-1
43901,Suffolk County,Massachusetts,1490.0,20,0,0.013422818999999999,0.0,-0.03354242752670833,-1
43902,Westchester County,New York,9154.0,147,0,0.016058554,0.0,-0.045852550192931996,-1
43902,King County,Washington,28669.0,271,28,0.009452719,0.000976665,-0.021532068057462328,-1
