date,county,state,pop,cases,deaths,casesPerCapita,deathsPerCapita,scores,anomaly
43919,Suffolk County,New York,1490.0,5023,40,3.37114094,0.026845637999999998,-0.005217835217106281,-1
43920,Suffolk County,New York,1490.0,5791,44,3.8865771810000003,0.029530201000000002,-0.025908086316277945,-1
43921,Suffolk County,New York,1490.0,6713,53,4.505369128,0.03557047,-0.0394611209283009,-1
43922,Suffolk County,New York,1490.0,7605,69,5.104026846,0.046308725,-0.05491518065359291,-1
43923,Suffolk County,New York,1490.0,8746,84,5.869798658,0.056375839000000004,-0.07464904507089576,-1
43924,Suffolk County,New York,1490.0,10154,96,6.814765101,0.06442953,-0.08152323572806053,-1
43925,Suffolk County,New York,1490.0,12328,175,8.273825503,0.11744966400000001,-0.09310497667510986,-1
43926,Suffolk County,New York,1490.0,12933,175,8.679865772000001,0.11744966400000001,-0.093688187856525,-1
43927,Suffolk County,New York,1490.0,14473,237,9.713422819,0.15906040300000002,-0.09485579466517857,-1
43928,Suffolk County,New York,1490.0,15561,266,10.44362416,0.17852349,-0.0960249825168793,-1
43929,Suffolk County,New York,1490.0,15844,328,10.63355705,0.22013422800000002,-0.09778173343409458,-1
43930,Suffolk County,New York,1490.0,17413,369,11.68657718,0.247651007,-0.09954205375348602,-1
43931,Suffolk County,New York,1490.0,18692,425,12.54496644,0.285234899,-0.09954205375348602,-1
43931,Suffolk County,Massachusetts,1490.0,4534,73,3.04295302,0.048993289,-0.003126463799635548,-1
43932,Suffolk County,New York,1490.0,19883,469,13.3442953,0.314765101,-0.09954205375348602,-1
43932,Suffolk County,Massachusetts,1490.0,4926,81,3.3060402680000003,0.054362416,-0.005217835217106281,-1
43933,Suffolk County,New York,1490.0,20816,529,13.9704698,0.35503355700000006,-0.10248387266180992,-1
43933,Suffolk County,Massachusetts,1490.0,5359,88,3.596644295,0.059060403,-0.012054014079519337,-1
43934,Suffolk County,New York,1490.0,21643,580,14.52550336,0.389261745,-0.10248387266180992,-1
43934,Suffolk County,Massachusetts,1490.0,5579,106,3.744295302,0.07114094,-0.01576001470111088,-1
43935,Suffolk County,New York,1490.0,22462,617,15.07516779,0.41409396,-0.10248387266180992,-1
43935,Suffolk County,Massachusetts,1490.0,5872,120,3.940939597,0.080536913,-0.029139938223545325,-1
43936,Suffolk County,New York,1490.0,23278,663,15.62281879,0.444966443,-0.10248387266180992,-1
43936,Suffolk County,Massachusetts,1490.0,6279,147,4.21409396,0.098657718,-0.034555598749725025,-1
43937,Suffolk County,New York,1490.0,24182,706,16.2295302,0.473825503,-0.10248387266180992,-1
43937,Suffolk County,Massachusetts,1490.0,6820,166,4.577181208,0.111409396,-0.04055529948482817,-1
43938,Suffolk County,New York,1490.0,25035,706,16.80201342,0.473825503,-0.10248387266180992,-1
43938,Suffolk County,Massachusetts,1490.0,7272,190,4.880536913,0.127516779,-0.04936223493257341,-1
43939,Suffolk County,New York,1490.0,26143,706,17.54563758,0.473825503,-0.10543566039462626,-1
43939,Suffolk County,Massachusetts,1490.0,7696,214,5.165100671,0.143624161,-0.055472544398619594,-1
43940,Suffolk County,New York,1490.0,26888,845,18.04563758,0.567114094,-0.10543566039462626,-1
43940,Suffolk County,Massachusetts,1490.0,8074,238,5.418791946,0.159731544,-0.06839654524627159,-1
43941,Suffolk County,New York,1490.0,27662,887,18.56510067,0.595302013,-0.10543566039462626,-1
43941,Suffolk County,Massachusetts,1490.0,8314,263,5.579865772000001,0.176510067,-0.06952990493046374,-1
43942,Suffolk County,New York,1490.0,28154,918,18.89530201,0.616107383,-0.10543566039462626,-1
43942,Suffolk County,Massachusetts,1490.0,8669,285,5.818120805,0.191275168,-0.07464904507089576,-1
43943,Suffolk County,New York,1490.0,28854,959,19.36510067,0.643624161,-0.10543566039462626,-1
43943,Suffolk County,Massachusetts,1490.0,9060,318,6.0805369129999995,0.21342281899999999,-0.0757908711937052,-1
43944,Suffolk County,New York,1490.0,29567,994,19.84362416,0.667114094,-0.1066191743217032,-1
43944,Suffolk County,Massachusetts,1490.0,9739,346,6.536241611,0.232214765,-0.07922563474166477,-1
43945,Suffolk County,New York,1490.0,30606,1035,20.5409396,0.6946308720000001,-0.10721153211819356,-1
43945,Suffolk County,Massachusetts,1490.0,10724,372,7.197315436,0.24966443,-0.08671562938401922,-1
43946,Suffolk County,New York,1490.0,31368,1085,21.05234899,0.728187919,-0.10721153211819356,-1
43946,Suffolk County,Massachusetts,1490.0,11218,391,7.52885906,0.262416107,-0.09077607387485942,-1
43947,Suffolk County,New York,1490.0,32059,1115,21.51610738,0.748322148,-0.10721153211819356,-1
43947,Westchester County,New York,9154.0,27664,1054,3.0220668560000004,0.11514092199999999,-0.0005201963132367426,-1
43947,Suffolk County,Massachusetts,1490.0,11543,424,7.746979866,0.284563758,-0.09077607387485942,-1
43948,Suffolk County,New York,1490.0,32470,1147,21.79194631,0.769798658,-0.10721153211819356,-1
43948,Westchester County,New York,9154.0,28007,1077,3.059536815,0.117653485,-0.003126463799635548,-1
43948,Suffolk County,Massachusetts,1490.0,11883,448,7.975167785,0.30067114100000003,-0.09193973742322292,-1
43949,Suffolk County,New York,1490.0,32724,1179,21.96241611,0.791275168,-0.10839745073289331,-1
43949,Westchester County,New York,9154.0,28245,1096,3.085536378,0.11972908,-0.002604504717883871,-1
43949,Suffolk County,Massachusetts,1490.0,12140,469,8.147651007,0.314765101,-0.09310497667510986,-1
43950,Suffolk County,New York,1490.0,33265,1205,22.32550336,0.808724832,-0.10839745073289331,-1
43950,Westchester County,New York,9154.0,28625,1119,3.127048285,0.12224164300000001,-0.002604504717883871,-1
43950,Suffolk County,Massachusetts,1490.0,12539,504,8.415436242,0.338255034,-0.093688187856525,-1
43951,Suffolk County,New York,1490.0,33664,1228,22.59328859,0.824161074,-0.10839745073289331,-1
