REGION,WEEK,ILITOTAL
Alabama,1/27/2018,5136
Alaska,1/27/2018,233
Arizona,1/27/2018,923
Arkansas,1/27/2018,434
California,1/27/2018,2038
Colorado,1/27/2018,793
Connecticut,1/27/2018,331
Delaware,1/27/2018,72
Georgia,1/27/2018,7656
Hawaii,1/27/2018,99
Idaho,1/27/2018,45
Illinois,1/27/2018,2560
Indiana,1/27/2018,448
Iowa,1/27/2018,172
Kansas,1/27/2018,852
Kentucky,1/27/2018,1245
Louisiana,1/27/2018,4626
Maine,1/27/2018,62
Maryland,1/27/2018,429
Massachusetts,1/27/2018,1480
Michigan,1/27/2018,1515
Minnesota,1/27/2018,458
Mississippi,1/27/2018,2128
Missouri,1/27/2018,485
Montana,1/27/2018,15
Nebraska,1/27/2018,633
Nevada,1/27/2018,551
New Hampshire,1/27/2018,108
New Jersey,1/27/2018,2480
New Mexico,1/27/2018,1250
New York,1/27/2018,1355
North Carolina,1/27/2018,1616
North Dakota,1/27/2018,54
Ohio,1/27/2018,882
Oklahoma,1/27/2018,1119
Oregon,1/27/2018,1801
Pennsylvania,1/27/2018,3116
Rhode Island,1/27/2018,290
South Carolina,1/27/2018,907
South Dakota,1/27/2018,545
Tennessee,1/27/2018,631
Texas,1/27/2018,5203
Utah,1/27/2018,234
Vermont,1/27/2018,115
Virginia,1/27/2018,8507
Washington,1/27/2018,345
West Virginia,1/27/2018,795
Wisconsin,1/27/2018,309
Wyoming,1/27/2018,290
Alabama,2/3/2018,5278
Alaska,2/3/2018,303
Arizona,2/3/2018,756
Arkansas,2/3/2018,636
California,2/3/2018,2369
Colorado,2/3/2018,977
Connecticut,2/3/2018,403
Delaware,2/3/2018,105
Georgia,2/3/2018,8032
Hawaii,2/3/2018,74
Idaho,2/3/2018,58
Illinois,2/3/2018,2720
Indiana,2/3/2018,423
Iowa,2/3/2018,172
Kansas,2/3/2018,924
Kentucky,2/3/2018,1277
Louisiana,2/3/2018,4744
Maine,2/3/2018,63
Maryland,2/3/2018,455
Massachusetts,2/3/2018,1992
Michigan,2/3/2018,1620
Minnesota,2/3/2018,499
Mississippi,2/3/2018,2033
Missouri,2/3/2018,842
Montana,2/3/2018,28
Nebraska,2/3/2018,709
Nevada,2/3/2018,574
New Hampshire,2/3/2018,161
New Jersey,2/3/2018,2981
New Mexico,2/3/2018,2219
New York,2/3/2018,1674
North Carolina,2/3/2018,1804
North Dakota,2/3/2018,54
Ohio,2/3/2018,1009
Oklahoma,2/3/2018,1021
Oregon,2/3/2018,1766
Pennsylvania,2/3/2018,3680
Rhode Island,2/3/2018,374
South Carolina,2/3/2018,1025
South Dakota,2/3/2018,649
Tennessee,2/3/2018,696
Texas,2/3/2018,4996
Utah,2/3/2018,271
Vermont,2/3/2018,110
Virginia,2/3/2018,10776
Washington,2/3/2018,247
West Virginia,2/3/2018,591
Wisconsin,2/3/2018,337
Wyoming,2/3/2018,329
Alabama,2/10/2018,5100
Alaska,2/10/2018,329
Arizona,2/10/2018,996
Arkansas,2/10/2018,553
California,2/10/2018,2116
Colorado,2/10/2018,863
Connecticut,2/10/2018,463
Delaware,2/10/2018,187
Georgia,2/10/2018,8949
Hawaii,2/10/2018,67
Idaho,2/10/2018,42
Illinois,2/10/2018,2552
Indiana,2/10/2018,442
Iowa,2/10/2018,150
Kansas,2/10/2018,923
Kentucky,2/10/2018,1276
Louisiana,2/10/2018,4356
Maine,2/10/2018,72
Maryland,2/10/2018,450
Massachusetts,2/10/2018,2069
Michigan,2/10/2018,1386
Minnesota,2/10/2018,474
Mississippi,2/10/2018,1873
Missouri,2/10/2018,645
Montana,2/10/2018,17
Nebraska,2/10/2018,854
Nevada,2/10/2018,567
New Hampshire,2/10/2018,225
New Jersey,2/10/2018,3301
New Mexico,2/10/2018,1995
New York,2/10/2018,1678
North Carolina,2/10/2018,1999
North Dakota,2/10/2018,65
Ohio,2/10/2018,1098
Oklahoma,2/10/2018,760
Oregon,2/10/2018,1406
Pennsylvania,2/10/2018,4221
Rhode Island,2/10/2018,507
South Carolina,2/10/2018,1031
South Dakota,2/10/2018,549
Tennessee,2/10/2018,586
Texas,2/10/2018,4450
Utah,2/10/2018,633
Vermont,2/10/2018,161
Virginia,2/10/2018,11452
Washington,2/10/2018,210
West Virginia,2/10/2018,798
Wisconsin,2/10/2018,306
Wyoming,2/10/2018,329
Alabama,2/17/2018,2921
Alaska,2/17/2018,385
Arizona,2/17/2018,948
Arkansas,2/17/2018,418
California,2/17/2018,1879
Colorado,2/17/2018,740
Connecticut,2/17/2018,385
Delaware,2/17/2018,143
Georgia,2/17/2018,6528
Hawaii,2/17/2018,70
Idaho,2/17/2018,37
Illinois,2/17/2018,2414
Indiana,2/17/2018,356
Iowa,2/17/2018,95
